Condensed/total_particles	Mean Number of Neighbors
0.900000	4.910000
0.905000	4.960000
0.885000	4.890000
0.900000	4.910000
0.890000	4.900000
0.880000	4.840000
0.860000	4.670000
0.865000	4.670000
0.885000	4.770000
0.870000	4.660000
0.870000	4.610000
0.870000	4.600000
0.855000	4.490000
0.870000	4.540000
0.860000	4.450000
0.875000	4.520000
0.850000	4.370000
0.880000	4.420000
0.865000	4.310000
0.880000	4.380000
0.885000	4.420000
0.865000	4.410000
0.875000	4.520000
0.855000	4.420000
0.870000	4.440000
0.860000	4.330000
0.845000	4.210000
0.835000	4.320000
0.835000	4.250000
0.845000	4.200000
0.830000	4.230000
0.820000	4.260000
0.825000	4.160000
0.830000	4.150000
0.860000	4.240000
0.845000	4.130000
0.815000	4.090000
0.865000	4.250000
0.800000	4.130000
0.835000	4.100000
0.850000	4.120000
0.815000	4.080000
0.810000	4.080000
0.820000	4.040000
0.840000	4.130000
0.840000	4.190000
0.840000	4.150000
0.870000	4.120000
0.860000	4.150000
0.850000	4.180000
0.810000	4.080000
0.835000	4.100000
0.870000	4.240000
0.850000	4.210000
0.830000	4.130000
0.815000	4.060000
0.795000	3.910000
0.815000	4.020000
0.810000	4.000000
0.810000	3.900000
0.805000	4.000000
0.785000	3.870000
0.825000	4.050000
0.805000	3.960000
0.800000	4.020000
0.840000	4.070000
0.795000	3.940000
0.795000	4.070000
0.800000	4.030000
0.795000	4.000000
0.795000	4.080000
0.805000	4.020000
0.790000	4.070000
0.840000	4.140000
0.800000	4.050000
0.815000	4.130000
0.785000	4.070000
0.830000	4.110000
0.760000	3.910000
0.815000	4.080000
0.810000	4.030000
0.785000	4.040000
0.800000	4.110000
0.820000	4.150000
0.810000	4.190000
0.800000	4.160000
0.775000	4.190000
0.785000	4.120000
0.800000	4.180000
0.785000	4.110000
0.790000	4.140000
0.795000	4.130000
0.750000	3.980000
0.780000	4.070000
0.825000	4.110000
0.820000	4.120000
0.790000	3.990000
0.825000	4.020000
0.800000	4.010000
0.820000	4.050000
0.815000	3.990000
0.815000	4.020000
0.840000	3.950000
0.825000	4.130000
0.800000	4.010000
0.805000	3.960000
0.830000	4.090000
0.805000	3.950000
0.780000	3.900000
0.795000	3.990000
0.825000	4.000000
0.815000	4.020000
0.810000	3.970000
0.765000	3.850000
0.800000	3.920000
0.800000	3.950000
0.790000	3.950000
0.835000	4.100000
0.820000	4.060000
0.820000	4.080000
0.800000	3.960000
0.800000	3.840000
0.820000	3.910000
0.830000	3.970000
0.835000	4.030000
0.815000	4.030000
0.840000	4.020000
0.820000	4.060000
0.820000	3.990000
0.825000	4.060000
0.820000	4.000000
0.840000	4.010000
0.805000	3.940000
0.805000	3.950000
0.815000	4.000000
0.835000	4.030000
0.795000	3.990000
0.855000	4.020000
0.830000	4.060000
0.845000	4.040000
0.805000	3.980000
0.830000	3.940000
0.800000	3.880000
0.795000	3.820000
0.820000	3.800000
0.805000	3.920000
0.805000	3.920000
0.785000	3.880000
0.790000	3.940000
0.780000	3.900000
0.760000	3.790000
0.810000	3.930000
0.780000	3.850000
0.765000	3.860000
0.775000	3.820000
0.790000	3.840000
0.810000	3.980000
0.800000	3.900000
0.825000	4.060000
0.825000	4.010000
0.835000	4.120000
0.845000	4.120000
0.830000	4.070000
0.820000	3.980000
0.840000	3.980000
0.810000	4.060000
0.815000	4.060000
0.800000	4.030000
0.825000	4.040000
0.805000	3.970000
0.830000	4.050000
0.825000	3.990000
0.810000	3.900000
0.795000	3.870000
0.825000	4.000000
0.830000	3.960000
0.830000	3.960000
0.800000	4.070000
0.815000	3.960000
0.785000	3.850000
0.815000	3.990000
0.790000	4.110000
0.855000	4.070000
0.835000	4.140000
0.860000	4.070000
0.820000	3.970000
0.845000	4.060000
0.805000	3.920000
0.785000	3.960000
0.810000	4.030000
0.770000	3.950000
0.800000	3.940000
0.805000	3.960000
0.805000	4.020000
0.795000	4.030000
0.810000	4.100000
0.800000	4.020000
0.805000	4.040000
0.800000	4.010000
0.815000	4.020000
0.820000	4.090000
0.805000	4.080000
0.820000	4.010000
0.795000	3.850000
0.795000	4.030000
0.775000	3.930000
0.780000	3.860000
0.810000	3.980000
0.780000	3.890000
0.785000	3.920000
0.810000	3.970000
0.790000	3.930000
0.790000	3.840000
0.780000	3.800000
0.775000	3.830000
0.785000	3.850000
0.770000	3.880000
0.795000	3.910000
0.800000	3.950000
0.795000	3.970000
0.800000	3.970000
0.765000	3.900000
0.805000	4.040000
0.795000	3.910000
0.780000	3.820000
0.785000	3.910000
0.780000	3.940000
0.770000	3.810000
0.775000	3.870000
0.775000	3.890000
0.760000	3.790000
0.820000	3.970000
0.805000	3.970000
0.825000	3.910000
0.830000	4.010000
0.800000	3.860000
0.820000	3.950000
0.820000	3.980000
0.805000	3.870000
0.820000	3.960000
0.810000	3.880000
0.820000	3.900000
0.790000	3.830000
0.825000	3.880000
0.825000	3.860000
0.820000	3.780000
0.815000	3.780000
0.830000	3.860000
0.795000	3.780000
0.770000	3.770000
0.805000	3.860000
0.780000	3.720000
0.790000	3.810000
0.785000	3.740000
0.790000	3.750000
0.785000	3.880000
0.830000	4.020000
0.835000	3.930000
0.790000	3.850000
0.810000	3.910000
0.765000	3.670000
0.810000	3.950000
0.775000	3.890000
0.760000	3.780000
0.780000	3.780000
0.775000	3.790000
0.775000	3.830000
0.785000	3.820000
0.795000	3.840000
0.790000	3.870000
0.795000	3.920000
0.810000	3.930000
0.840000	3.910000
0.800000	3.950000
0.795000	3.840000
0.825000	4.020000
0.825000	4.040000
0.820000	3.920000
0.800000	3.900000
0.790000	3.780000
0.810000	3.950000
0.800000	3.850000
0.800000	3.940000
0.800000	4.010000
0.775000	3.940000
0.745000	3.750000
0.795000	3.970000
0.800000	4.060000
0.760000	3.870000
0.745000	3.730000
0.770000	3.750000
0.790000	3.910000
0.765000	3.680000
0.765000	3.700000
0.740000	3.710000
0.745000	3.870000
0.760000	3.810000
0.765000	3.780000
0.795000	3.890000
0.805000	3.840000
0.780000	3.770000
0.750000	3.670000
0.775000	3.650000
0.760000	3.750000
0.780000	3.810000
0.765000	3.790000
0.775000	3.790000
0.715000	3.740000
0.740000	3.730000
0.775000	3.790000
0.770000	3.700000
0.750000	3.700000
0.765000	3.590000
0.770000	3.770000
0.795000	3.790000
0.790000	3.810000
0.795000	3.790000
0.780000	3.750000
0.790000	3.780000
0.805000	3.770000
0.770000	3.720000
0.770000	3.630000
0.770000	3.600000
0.760000	3.630000
0.785000	3.610000
0.730000	3.470000
0.755000	3.590000
0.785000	3.700000
0.735000	3.530000
0.730000	3.530000
0.770000	3.570000
0.735000	3.560000
0.740000	3.660000
0.755000	3.630000
0.770000	3.670000
0.725000	3.590000
0.710000	3.600000
0.775000	3.830000
0.735000	3.580000
0.735000	3.690000
0.760000	3.670000
0.760000	3.660000
0.795000	3.810000
0.770000	3.780000
0.755000	3.730000
0.785000	3.920000
0.765000	3.800000
0.780000	3.810000
0.810000	3.760000
0.760000	3.760000
0.755000	3.790000
0.785000	3.790000
0.780000	3.730000
0.770000	3.680000
0.760000	3.670000
0.740000	3.710000
0.750000	3.720000
0.745000	3.710000
0.730000	3.670000
0.755000	3.720000
0.755000	3.720000
0.725000	3.580000
0.775000	3.680000
0.750000	3.630000
0.765000	3.630000
0.735000	3.610000
0.765000	3.580000
0.775000	3.570000
0.760000	3.480000
0.780000	3.530000
0.730000	3.530000
0.765000	3.690000
0.780000	3.820000
0.765000	3.780000
0.800000	3.850000
0.780000	3.860000
0.800000	3.800000
0.750000	3.680000
0.770000	3.720000
0.780000	3.770000
0.750000	3.580000
0.755000	3.670000
0.740000	3.670000
0.750000	3.620000
0.755000	3.670000
0.735000	3.620000
0.770000	3.690000
0.750000	3.550000
0.735000	3.550000
0.765000	3.610000
0.730000	3.570000
0.720000	3.550000
0.710000	3.530000
0.795000	3.670000
0.775000	3.730000
0.765000	3.640000
0.775000	3.710000
0.785000	3.740000
0.780000	3.660000
0.755000	3.600000
0.750000	3.590000
0.730000	3.540000
0.740000	3.640000
0.725000	3.730000
0.705000	3.470000
0.720000	3.570000
0.735000	3.640000
0.775000	3.670000
0.745000	3.650000
0.780000	3.720000
0.760000	3.700000
0.805000	3.830000
0.800000	3.820000
0.780000	3.790000
0.790000	3.790000
0.765000	3.750000
0.780000	3.830000
0.780000	3.780000
0.760000	3.820000
0.765000	3.780000
0.775000	3.730000
0.740000	3.690000
0.745000	3.670000
0.730000	3.630000
0.720000	3.630000
0.715000	3.580000
0.780000	3.680000
0.725000	3.660000
0.750000	3.700000
0.740000	3.540000
0.765000	3.650000
0.755000	3.510000
0.750000	3.560000
0.750000	3.580000
0.750000	3.550000
0.765000	3.610000
0.760000	3.660000
0.765000	3.730000
0.750000	3.550000
0.740000	3.550000
0.710000	3.390000
0.725000	3.400000
0.750000	3.540000
0.725000	3.420000
0.790000	3.530000
0.765000	3.600000
