Distance(Angstroms)	Orientational Correlation0.000000	0.916556
3.396226	0.119794
3.416087	0.449967
3.426018	0.385669
3.435948	0.282530
3.445879	0.549776
3.455809	0.367532
3.465740	0.333834
3.475670	0.352399
3.485601	0.454026
3.495531	0.614152
3.505462	0.596248
3.515392	0.668764
3.525323	0.665784
3.535253	0.662109
3.545184	0.745235
3.555114	0.742190
3.565045	0.764286
3.574975	0.769842
3.584906	0.791230
3.594836	0.804203
3.604767	0.823365
3.614697	0.830041
3.624628	0.842286
3.634558	0.853351
3.644489	0.850599
3.654419	0.868799
3.664350	0.879293
3.674280	0.883076
3.684211	0.888534
3.694141	0.896052
3.704071	0.889429
3.714002	0.900711
3.723932	0.901068
3.733863	0.908285
3.743793	0.904228
3.753724	0.909329
3.763654	0.910973
3.773585	0.906016
3.783515	0.911891
3.793446	0.909452
3.803376	0.914468
3.813307	0.914607
3.823237	0.915712
3.833168	0.911600
3.843098	0.907827
3.853029	0.909066
3.862959	0.912611
3.872890	0.908949
3.882820	0.910065
3.892751	0.906238
3.902681	0.907206
3.912612	0.900413
3.922542	0.903597
3.932473	0.903727
3.942403	0.896091
3.952334	0.890568
3.962264	0.891902
3.972195	0.888887
3.982125	0.883772
3.992056	0.876623
4.001986	0.875187
4.011917	0.867305
4.021847	0.865149
4.031778	0.855152
4.041708	0.836247
4.051639	0.846492
4.061569	0.842754
4.071500	0.829750
4.081430	0.822786
4.091360	0.826044
4.101291	0.803974
4.111221	0.804812
4.121152	0.797752
4.131082	0.800039
4.141013	0.779034
4.150943	0.778682
4.160874	0.777478
4.170804	0.767490
4.180735	0.744460
4.190665	0.716400
4.200596	0.701006
4.210526	0.695069
4.220457	0.682388
4.230387	0.662489
4.240318	0.672049
4.250248	0.601559
4.260179	0.623833
4.270109	0.616196
4.280040	0.596029
4.289970	0.552315
4.299901	0.565786
4.309831	0.533656
4.319762	0.477047
4.329692	0.502105
4.339623	0.518104
4.349553	0.489346
4.359484	0.479709
4.369414	0.426416
4.379345	0.417094
4.389275	0.474601
4.399206	0.406773
4.409136	0.431482
4.419067	0.378933
4.428997	0.393350
4.438928	0.454828
4.448858	0.396335
4.458788	0.391477
4.468719	0.362285
4.478649	0.407756
4.488580	0.363531
4.498510	0.374044
4.508441	0.361779
4.518371	0.356975
4.528302	0.406868
4.538232	0.165780
4.548163	0.310061
4.558093	0.284353
4.568024	0.284452
4.577954	0.336363
4.587885	0.378544
4.597815	0.289455
4.607746	0.243077
4.617676	0.228541
4.627607	0.376627
4.637537	0.192488
4.647468	0.247335
4.657398	0.185082
4.667329	0.041475
4.677259	0.119827
4.687190	0.187263
4.697120	0.168187
4.707051	0.251168
4.716981	0.279199
4.726912	0.259790
4.736842	0.091708
4.746773	-0.013018
4.756703	0.014343
4.766634	-0.012489
4.776564	0.173582
4.786495	-0.059421
4.796425	0.040017
4.806356	0.100420
4.816286	0.013464
4.826216	-0.045834
4.836147	0.042334
4.846077	-0.093875
4.856008	-0.282951
4.865938	0.008378
4.875869	-0.201822
4.885799	-0.165785
4.895730	-0.057679
4.905660	-0.088922
4.915591	-0.224781
4.925521	-0.286131
4.935452	-0.158755
4.945382	0.045395
4.955313	-0.193204
4.965243	-0.168683
4.975174	-0.291014
4.985104	-0.155256
4.995035	-0.380043
5.004965	-0.419282
5.014896	-0.491351
5.024826	-0.489094
5.034757	-0.421238
5.044687	-0.488120
5.054618	-0.335850
5.064548	-0.635045
5.074479	-0.525767
5.084409	-0.519990
5.094340	-0.564785
5.104270	-0.657891
5.114201	-0.586710
5.124131	-0.640654
5.134062	-0.637939
5.143992	-0.592864
5.153923	-0.588556
5.163853	-0.540218
5.173784	-0.636478
5.183714	-0.605028
5.193644	-0.647123
5.203575	-0.696453
5.213505	-0.733468
5.223436	-0.665732
5.233366	-0.710885
5.243297	-0.675779
5.253227	-0.703603
5.263158	-0.701733
5.273088	-0.624512
5.283019	-0.633111
5.292949	-0.728234
5.302880	-0.706312
5.312810	-0.646510
5.322741	-0.694591
5.332671	-0.682109
5.342602	-0.781770
5.352532	-0.728038
5.362463	-0.609086
5.372393	-0.685935
5.382324	-0.718267
5.392254	-0.626571
5.402185	-0.618824
5.412115	-0.620261
5.422046	-0.644432
5.431976	-0.635483
5.441907	-0.668799
5.451837	-0.658556
5.461768	-0.591436
5.471698	-0.696898
5.481629	-0.634088
5.491559	-0.607700
5.501490	-0.627438
5.511420	-0.573568
5.521351	-0.670558
5.531281	-0.649240
5.541212	-0.570409
5.551142	-0.520689
5.561072	-0.559789
5.571003	-0.632635
5.580933	-0.565948
5.590864	-0.527482
5.600794	-0.571330
5.610725	-0.553781
5.620655	-0.597841
5.630586	-0.516349
5.640516	-0.515497
5.650447	-0.521484
5.660377	-0.550052
5.670308	-0.493320
5.680238	-0.464468
5.690169	-0.443250
5.700099	-0.443266
5.710030	-0.429288
5.719960	-0.431757
5.729891	-0.303673
5.739821	-0.449342
5.749752	-0.391737
5.759682	-0.386921
5.769613	-0.363221
5.779543	-0.425071
5.789474	-0.347893
5.799404	-0.296267
5.809335	-0.383430
5.819265	-0.345392
5.829196	-0.300440
5.839126	-0.262334
5.849057	-0.275714
5.858987	-0.264526
5.868918	-0.248635
5.878848	-0.215181
5.888779	-0.204290
5.898709	-0.262059
5.908640	-0.105672
5.918570	-0.185761
5.928500	-0.218196
5.938431	-0.155578
5.948361	-0.173588
5.958292	-0.021250
5.968222	-0.019327
5.978153	-0.096716
5.988083	-0.055059
5.998014	0.014479
6.007944	0.106531
6.017875	0.081961
6.027805	0.079254
