Condensed/total_particles	Mean Number of Neighbors
0.095000	0.980000
0.055000	1.100000
0.060000	0.970000
0.040000	0.900000
0.045000	0.950000
0.030000	0.810000
0.045000	0.870000
0.060000	0.930000
0.060000	0.990000
0.080000	1.000000
0.030000	0.810000
0.125000	1.150000
0.055000	0.930000
0.085000	1.050000
0.070000	0.920000
0.080000	0.940000
0.110000	1.060000
0.045000	0.900000
0.035000	0.800000
0.035000	0.750000
0.035000	0.870000
0.055000	0.810000
0.015000	0.710000
0.045000	0.730000
0.030000	0.830000
0.025000	0.710000
0.070000	1.010000
0.055000	0.880000
0.065000	0.850000
0.060000	0.880000
0.065000	1.010000
0.050000	0.940000
0.095000	1.010000
0.030000	0.930000
0.080000	0.990000
0.075000	1.020000
0.050000	1.040000
0.030000	0.910000
0.060000	1.000000
0.075000	0.950000
0.045000	0.890000
0.065000	0.980000
0.090000	0.960000
0.065000	0.930000
0.060000	0.800000
0.045000	0.790000
0.030000	0.780000
0.045000	0.830000
0.045000	0.810000
0.070000	0.840000
0.080000	0.900000
0.060000	0.820000
0.030000	0.810000
0.060000	0.840000
0.055000	0.890000
0.035000	0.820000
0.035000	0.910000
0.040000	0.770000
0.020000	0.770000
0.045000	0.910000
0.040000	0.810000
0.055000	0.920000
0.055000	0.890000
0.080000	0.940000
0.060000	0.810000
0.045000	0.960000
0.030000	0.840000
0.055000	0.920000
0.055000	0.850000
0.045000	0.890000
0.075000	0.870000
0.050000	0.750000
0.035000	0.810000
0.050000	0.840000
0.055000	0.920000
0.025000	0.830000
0.030000	0.770000
0.060000	1.020000
0.050000	0.900000
0.065000	1.020000
0.055000	0.890000
0.080000	0.890000
0.050000	0.840000
0.050000	0.940000
0.080000	0.890000
0.040000	0.860000
0.015000	0.780000
0.040000	0.820000
0.030000	0.790000
0.035000	0.970000
0.075000	0.970000
0.045000	0.840000
0.040000	0.750000
0.065000	0.780000
0.055000	0.900000
0.040000	0.710000
0.025000	0.780000
0.060000	0.790000
0.040000	0.850000
0.055000	0.930000
0.035000	0.850000
0.090000	0.980000
0.055000	0.870000
0.045000	0.800000
0.060000	0.840000
0.045000	0.850000
0.040000	1.020000
0.050000	0.940000
0.055000	0.980000
0.050000	1.030000
0.025000	0.880000
0.065000	0.900000
0.060000	0.910000
0.060000	0.760000
0.040000	0.810000
0.095000	1.060000
0.065000	0.950000
0.040000	0.830000
0.025000	0.870000
0.060000	0.940000
0.040000	0.890000
0.080000	1.020000
0.055000	0.900000
0.075000	0.940000
0.055000	0.890000
0.035000	0.840000
0.070000	0.920000
0.040000	0.920000
0.045000	0.970000
0.090000	0.920000
0.090000	0.900000
0.085000	0.910000
0.085000	1.000000
0.115000	1.080000
0.095000	1.070000
0.060000	0.890000
0.035000	0.880000
0.085000	1.080000
0.100000	1.030000
0.085000	1.020000
0.085000	0.950000
0.040000	0.830000
0.080000	0.870000
0.050000	0.890000
0.050000	0.920000
0.075000	0.940000
0.050000	0.880000
0.055000	0.940000
0.065000	0.880000
0.065000	0.940000
0.085000	1.000000
0.050000	0.860000
0.095000	1.050000
0.065000	0.960000
0.055000	0.920000
0.075000	1.010000
0.115000	1.090000
0.060000	0.890000
0.090000	1.010000
0.085000	1.000000
0.025000	0.880000
0.060000	0.890000
0.130000	1.190000
0.070000	0.940000
0.110000	1.050000
0.095000	1.060000
0.050000	0.910000
0.065000	0.920000
0.090000	0.990000
0.015000	0.840000
0.050000	0.970000
0.050000	0.880000
0.075000	0.960000
0.085000	1.070000
0.085000	1.040000
0.085000	1.040000
0.050000	0.940000
0.075000	1.000000
0.040000	0.800000
0.045000	0.890000
0.055000	0.840000
0.055000	0.800000
0.045000	0.870000
0.025000	0.710000
0.040000	0.800000
0.060000	0.980000
0.080000	0.940000
0.075000	0.880000
0.100000	0.920000
0.095000	1.050000
0.075000	0.960000
0.035000	0.810000
0.035000	0.830000
0.050000	0.820000
0.045000	0.750000
0.045000	0.930000
0.050000	0.870000
0.045000	0.910000
0.030000	0.860000
0.070000	0.940000
0.050000	0.920000
0.020000	0.830000
0.020000	0.780000
0.050000	0.930000
0.055000	0.860000
0.050000	0.860000
0.045000	0.800000
0.070000	0.930000
0.070000	0.870000
0.060000	0.890000
0.045000	0.880000
0.040000	0.870000
0.070000	0.940000
0.060000	0.830000
0.065000	0.880000
0.050000	0.830000
0.060000	0.900000
0.025000	0.790000
0.025000	0.770000
0.045000	0.910000
0.035000	0.840000
0.040000	0.820000
0.040000	0.890000
0.030000	0.710000
0.040000	0.740000
0.105000	0.950000
0.045000	0.710000
0.055000	0.840000
0.035000	0.900000
0.055000	0.830000
0.050000	0.780000
0.035000	0.790000
0.060000	0.890000
0.065000	0.940000
0.065000	0.760000
0.045000	0.880000
0.095000	0.960000
0.025000	0.680000
0.040000	0.820000
0.050000	0.910000
0.055000	0.870000
0.070000	0.850000
