Condensed/total_particles	Mean Number of Neighbors
0.385000	2.080000
0.355000	1.910000
0.335000	1.910000
0.340000	1.970000
0.305000	1.850000
0.345000	1.910000
0.315000	1.850000
0.355000	1.990000
0.350000	1.880000
0.325000	1.940000
0.270000	1.760000
0.300000	1.780000
0.330000	1.820000
0.330000	1.810000
0.275000	1.730000
0.315000	1.780000
0.300000	1.800000
0.245000	1.730000
0.260000	1.680000
0.240000	1.590000
0.235000	1.550000
0.270000	1.560000
0.315000	1.810000
0.265000	1.650000
0.275000	1.660000
0.290000	1.690000
0.260000	1.580000
0.245000	1.590000
0.240000	1.550000
0.245000	1.540000
0.280000	1.730000
0.265000	1.680000
0.285000	1.750000
0.235000	1.570000
0.255000	1.680000
0.175000	1.500000
0.265000	1.580000
0.240000	1.690000
0.275000	1.630000
0.260000	1.620000
0.260000	1.670000
0.200000	1.570000
0.280000	1.750000
0.250000	1.650000
0.300000	1.810000
0.300000	1.760000
0.285000	1.750000
0.305000	1.800000
0.245000	1.620000
0.220000	1.610000
0.270000	1.740000
0.315000	1.770000
0.265000	1.720000
0.280000	1.670000
0.235000	1.730000
0.265000	1.720000
0.315000	1.790000
0.295000	1.770000
0.305000	1.780000
0.325000	1.770000
0.320000	1.800000
0.305000	1.790000
0.275000	1.670000
0.265000	1.670000
0.265000	1.690000
0.275000	1.640000
0.265000	1.680000
0.235000	1.570000
0.230000	1.620000
0.250000	1.460000
0.265000	1.660000
0.275000	1.690000
0.270000	1.640000
0.295000	1.740000
0.310000	1.710000
0.310000	1.800000
0.225000	1.580000
0.250000	1.580000
0.235000	1.500000
0.210000	1.530000
0.225000	1.510000
0.260000	1.640000
0.215000	1.550000
0.245000	1.610000
0.310000	1.740000
0.280000	1.780000
0.295000	1.760000
0.270000	1.730000
0.275000	1.720000
0.270000	1.670000
0.270000	1.740000
0.270000	1.750000
0.315000	1.860000
0.305000	1.770000
0.320000	1.820000
0.275000	1.660000
0.330000	1.890000
0.345000	1.960000
0.340000	2.020000
0.330000	1.770000
0.265000	1.650000
0.270000	1.760000
0.255000	1.690000
0.270000	1.670000
0.265000	1.710000
0.275000	1.760000
0.250000	1.640000
0.295000	1.780000
0.225000	1.540000
0.240000	1.590000
0.295000	1.700000
0.270000	1.710000
0.250000	1.540000
0.275000	1.670000
0.260000	1.620000
0.290000	1.700000
0.265000	1.700000
0.260000	1.710000
0.295000	1.700000
0.275000	1.720000
0.240000	1.620000
0.230000	1.600000
0.240000	1.610000
